"NOMBRE DE LA SERIE",DF_MESNAA20F1U62240Z01E,DF_MESNAA20I1U62240Z01E,DF_MESNAA20J1U62240Z01E,DF_MESNAA20F1U62251Z01E,DF_MESNAA20I1U62251Z01E,DF_MESNAA20J1U62251Z01E,DF_MESNAA22A1U62250Z01E,DF_MESNAA21A1U62250Z01E,DF_MESNAA23A1U62250Z01E,DF_MESNAA23A1U62253Z01E,DF_MESNAA20A1U62252Z01E
"DIC 2015",99296,127081,291339,27231,30809,650424,552065,61359,95040,45341,5817
"ENE 2016",98233,127474,288587,26548,30958,648568,550740,60609,94725,45075,5766
"FEB 2016",96173,129737,288195,24840,31269,647968,549307,60488,94283,44806,5478
"MAR 2016",91668,130418,285287,24835,31794,646839,546812,61395,95261,45258,5403
"ABR 2016",93091,130984,282032,25210,32041,646487,546191,62136,95411,45103,5383
"MAY 2016",90755,129301,281735,25892,32259,644806,544563,62869,95525,45438,5331
"JUN 2016",93783,129521,279598,33354,32689,644756,543937,64850,102012,45779,5277
"JUL 2016",93570,130186,279027,26725,33237,644001,543238,64962,95764,45840,5214
"AGO 2016",90022,128604,276231,26306,33712,641478,541006,65333,95156,45514,5169
"SEP 2016",91020,126383,276495,26029,33928,640320,540278,66160,93839,45485,5187
"OCT 2016",91450,127801,274855,26053,34563,638427,538727,66922,93395,45562,5156
"NOV 2016",91939,128066,274343,32690,35715,637181,537389,68730,99466,44922,5056
"DIC 2016",95388,125888,271843,26470,36032,635136,535588,69149,92901,45394,5153
"ENE 2017",94343,125148,269570,26396,36017,633031,533545,69175,92724,45189,5059
"FEB 2017",95028,125669,268114,25808,36292,631837,532439,69188,92310,44901,4951
"MAR 2017",96650,126510,268117,25744,36953,631388,531555,71171,91359,45656,4895
"ABR 2017",95112,128434,268826,25961,37412,630822,530860,72133,91202,45750,4929
"MAY 2017",94107,127882,267995,24622,37954,630841,529375,72979,91063,45812,4931
"JUN 2017",97643,124482,260516,30278,38715,631904,528604,74671,97622,45151,5229
"JUL 2017",97745,126081,258522,25298,39076,629564,528215,74911,90813,45216,5238
"AGO 2017",94053,124437,256422,25106,39347,628237,526420,75489,90781,46063,5184
"SEP 2017",96363,123451,257364,25631,39647,626393,525899,75661,90111,45217,5210
"OCT 2017",99889,124456,253806,25327,39880,626339,524425,76666,90456,44826,5172
"NOV 2017",93609,130685,254062,31492,40456,627345,523066,78978,97250,44881,5122
"DIC 2017",96849,127532,252261,26811,40827,624231,521867,79286,90716,45249,5170
"ENE 2018",96090,125686,253870,26286,40968,622360,520078,79481,90056,45085,5107
"FEB 2018",96096,123254,249981,26376,40974,620982,519351,79641,89339,44881,5253
"MAR 2018",101761,118990,239640,26731,41447,622264,524628,77784,88030,42338,5253
